rpu,billPeriodStart,billPeriodEnd,subTotal,kwh
435150702336,2024-02-09,2024-04-10,18327.83,4030.0
435150702336,2023-12-12,2024-02-09,8940.71,1981.0
435150702336,2023-10-11,2023-12-12,12728.8,2827.0
435150702336,2023-08-11,2023-10-11,14623.5,3225.0
435150702336,2023-06-12,2023-08-11,15828.49,3447.0
435150702336,2023-04-12,2023-06-12,18565.28,4127.0
435150702336,2023-02-09,2023-04-12,15130.35,3445.0
435150702336,2022-12-12,2023-02-09,11942.47,2765.0
435150702336,2022-10-11,2022-12-12,14316.4,3262.0
435150702336,2022-08-11,2022-10-11,14209.85,3251.0
435150702336,2022-06-10,2022-08-11,14133.9,3256.0
435150702336,2022-02-09,2022-06-10,19522.2,7784.0
435150702336,2022-02-09,2022-04-08,13807.53,3276.0
435150702336,2021-12-10,2022-02-09,14440.6,3445.0
435150702336,2021-10-13,2021-12-10,,3642.0
435150702336,2021-08-13,2021-10-13,,4225.0
435150702336,2021-06-14,2021-08-13,,3864.0
435150702336,2021-04-13,2021-06-14,,4490.0
435150702336,2021-02-10,2021-04-13,,2987.0
435150702336,2020-12-10,2021-02-10,,1255.0
435150702336,2020-10-12,2020-12-10,,2532.0
435150702336,2020-08-11,2020-10-12,,2935.0
435150702336,2020-06-10,2020-08-11,,3069.0
435150702336,2020-04-03,2020-06-10,,2445.0
435150702336,2020-02-05,2020-04-03,,2601.0
477160608995,2025-03-10,2025-05-09,11538.88,2472.0
477160608995,2025-01-09,2025-03-10,4989.38,1060.0
477160608995,2024-11-07,2025-01-09,6957.69,1500.0
477160608995,2024-09-09,2024-11-07,7632.63,1629.0
477160608995,2024-07-09,2024-09-09,9177.44,1962.0
477160608995,2024-05-09,2024-07-09,11330.36,2485.0
477160608995,2024-03-08,2024-05-09,10225.25,2241.0
477160608995,2024-01-10,2024-03-08,14962.36,3314.0
477160608995,2023-11-09,2024-01-10,14800.49,3306.0
477160608995,2023-09-11,2023-11-09,15309.25,3374.0
477160608995,2023-07-11,2023-09-11,17427.92,3822.0
477160608995,2023-05-11,2023-07-11,20846.67,4587.0
477160608995,2023-03-10,2023-05-11,17315.31,3910.0
477160608995,2023-01-11,2023-03-10,11768.18,2708.0
477160608995,2022-11-09,2023-01-11,12197.73,2777.0
477160608995,2022-09-09,2022-11-09,12163.62,2773.0
477160608995,2022-07-11,2022-09-09,,2900.0
477160608995,2022-05-11,2022-07-11,,3727.0
477160608995,2022-03-10,2022-05-11,,3443.0
477160608995,2022-01-11,2022-03-10,,2339.0
477160608995,2021-11-09,2022-01-11,,2533.0
477160608995,2021-09-09,2021-11-09,,2590.0
477160608995,2021-07-09,2021-09-09,,2854.0
477160608995,2021-05-10,2021-07-09,,3334.0
477160608995,2021-03-09,2021-05-10,,3470.0
477160608995,2021-01-08,2021-03-09,,2107.0
477160608995,2020-11-06,2021-01-08,,1928.0
477211203189,2025-04-07,2025-06-06,24413.12,5248.0
477211203189,2025-02-05,2025-04-07,24171.98,5196.0
477211203189,2024-12-06,2025-02-05,17980.64,3866.0
477211203189,2024-10-07,2024-12-06,20250.98,4349.0
477211203189,2024-08-07,2024-10-07,19824.18,4257.0
477211203189,2024-06-06,2024-08-07,20451.61,4417.0
477211203189,2024-04-05,2024-06-06,20927.52,4604.0
477211203189,2024-02-06,2024-04-05,16375.77,3599.0
477211203189,2023-12-07,2024-02-06,13183.11,2929.0
477211203189,2023-10-06,2023-12-07,14430.01,3207.0
